2023-02-05 22:03:48.632 GMT+05:30 ,3313,3383, I , SpayFw_StateMachine , state has changed from NPAY_READY to NPAY_SELECTED
2023-02-05 22:03:49.624 GMT+05:30 ,3313,3328, I , SpayFw_PaymentFrameworkService , Entered method = clearCard
2023-02-05 22:03:49.624 GMT+05:30 ,3313,3328, W , SpayFw_PaymentFrameworkService , Does not support SEAMS so tries with SEAMSPolicy
2023-02-05 22:03:49.625 GMT+05:30 ,3313,3383, I , SpayFw_StateMachine , state has changed from NPAY_SELECTED to NPAY_READY
2023-02-05 22:03:49.625 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , Calling closeTui
2023-02-05 22:03:49.634 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , TUI: unloadTA
2023-02-05 22:04:45.184 GMT+05:30 ,3313,3328, I , SpayFw_TAController , TA is already loaded
2023-02-05 22:04:45.214 GMT+05:30 ,3313,3328, I , SpayFw_TAController , TA is already loaded
2023-02-05 22:09:45.236 GMT+05:30 ,3313,14040, I , SpayFw_SPAY:CNCCTAController , CNCC: unloadTA
2023-02-05 23:41:16.097 GMT+05:30 ,3313,3457, I , SpayFw_TokenRepersoProcessor , restart
2023-02-05 23:41:16.099 GMT+05:30 ,3313,3457, I , SpayFw_TokenChangeChecker , restart
2023-02-05 23:41:49.283 GMT+05:30 ,3313,3313, E , SpayFw_AuthFrameworkService , onConfigurationChanged
2023-02-05 23:50:15.104 GMT+05:30 ,3313,3313, E , SpayFw_AuthFrameworkService , onConfigurationChanged
2023-02-05 23:51:16.492 GMT+05:30 ,3313,3313, E , SpayFw_AuthFrameworkService , onConfigurationChanged
2023-02-05 23:53:03.805 GMT+05:30 ,3313,3313, E , SpayFw_AuthFrameworkService , onConfigurationChanged
2023-02-06 00:16:08.449 GMT+05:30 ,3313,3313, E , SpayFw_AuthFrameworkService , onConfigurationChanged
2023-02-06 00:20:03.405 GMT+05:30 ,3313,3313, E , SpayFw_AuthFrameworkService , onConfigurationChanged
2023-02-06 00:21:19.296 GMT+05:30 ,3313,3457, I , SpayFw_TokenRepersoProcessor , restart
2023-02-06 00:21:19.365 GMT+05:30 ,3313,3457, I , SpayFw_TokenChangeChecker , restart
2023-02-06 00:40:29.932 GMT+05:30 ,3313,3313, E , SpayFw_AuthFrameworkService , onConfigurationChanged
2023-02-06 00:50:30.697 GMT+05:30 ,3313,3313, E , SpayFw_AuthFrameworkService , onConfigurationChanged
2023-02-06 01:12:47.945 GMT+05:30 ,3313,3313, E , SpayFw_AuthFrameworkService , onConfigurationChanged
2023-02-06 01:41:02.817 GMT+05:30 ,3313,3313, E , SpayFw_AuthFrameworkService , onConfigurationChanged
2023-02-06 01:41:04.940 GMT+05:30 ,3313,3313, E , SpayFw_AuthFrameworkService , onConfigurationChanged
2023-02-06 01:42:15.589 GMT+05:30 ,3313,3313, E , SpayFw_AuthFrameworkService , onConfigurationChanged
2023-02-06 01:42:32.601 GMT+05:30 ,3313,3313, E , SpayFw_AuthFrameworkService , onConfigurationChanged
2023-02-06 01:43:54.656 GMT+05:30 ,3313,3313, E , SpayFw_AuthFrameworkService , onConfigurationChanged
2023-02-06 01:43:58.405 GMT+05:30 ,3313,3313, E , SpayFw_AuthFrameworkService , onConfigurationChanged
2023-02-06 01:44:24.137 GMT+05:30 ,3313,3313, E , SpayFw_AuthFrameworkService , onConfigurationChanged
2023-02-06 01:44:33.663 GMT+05:30 ,3313,3457, I , SpayFw_TokenRepersoProcessor , restart
2023-02-06 01:44:33.664 GMT+05:30 ,3313,3457, I , SpayFw_TokenChangeChecker , restart
2023-02-06 01:46:40.334 GMT+05:30 ,3313,3313, E , SpayFw_AuthFrameworkService , onConfigurationChanged
2023-02-06 01:58:18.824 GMT+05:30 ,3313,3313, E , SpayFw_AuthFrameworkService , onConfigurationChanged
2023-02-06 01:59:04.042 GMT+05:30 ,3313,3313, E , SpayFw_AuthFrameworkService , onConfigurationChanged
2023-02-06 01:59:21.300 GMT+05:30 ,3313,3313, E , SpayFw_AuthFrameworkService , onConfigurationChanged
2023-02-06 02:02:45.084 GMT+05:30 ,3313,3313, E , SpayFw_AuthFrameworkService , onConfigurationChanged
2023-02-06 02:12:06.779 GMT+05:30 ,3313,3313, E , SpayFw_AuthFrameworkService , onConfigurationChanged
2023-02-06 03:14:25.281 GMT+05:30 ,3313,25607, E , SpayFw_PaymentFrameworkService , DeathRecipient: Error: Wallet App died
2023-02-06 03:14:25.285 GMT+05:30 ,3313,3328, E , SpayFw_AuthFrameworkService , DeathRecipient: Error: Wallet App died
2023-02-06 03:14:25.289 GMT+05:30 ,3313,3328, I , SpayFw_StateMachine , state has changed from NPAY_READY to NPAY_READY
2023-02-06 03:14:25.301 GMT+05:30 ,3313,25607, I , SpayFw_StateMachine , state has changed from NPAY_READY to NPAY_READY
2023-02-06 03:14:25.301 GMT+05:30 ,3313,3328, I , SpayFw_SPAY:AuthFramework , tppUnLoad(): 
2023-02-06 03:14:25.302 GMT+05:30 ,3313,25607, I , SpayFw_StateMachine , state has changed from NPAY_READY to NPAY_READY
2023-02-06 03:14:25.302 GMT+05:30 ,3313,3328, I , SpayFw_SpayTuiTAController , Calling closeTui
2023-02-06 03:14:25.305 GMT+05:30 ,3313,3328, E , SpayFw_TAController , TA has to be loaded before calling executeNoLoad
2023-02-06 03:14:25.307 GMT+05:30 ,3313,3328, E , SpayFw_SpayTuiTAControllerUtils , Error: load_and_execute failed
2023-02-06 03:14:25.307 GMT+05:30 ,3313,3328, I , SpayFw_SpayTuiTAController , TUI: unloadTA
2023-02-06 03:14:25.307 GMT+05:30 ,3313,3328, E , SpayFw_TAController , TA is never loaded. Unload is noop
2023-02-06 03:14:29.926 GMT+05:30 ,3313,3328, I , SpayFw_PaymentFrameworkService , Entered method = pfInitStatus
2023-02-06 03:14:29.931 GMT+05:30 ,3313,3328, W , SpayFw_PaymentFrameworkService , Does not support SEAMS so tries with SEAMSPolicy
2023-02-06 03:14:29.933 GMT+05:30 ,3313,3383, I , SpayFw_PaymentFrameworkHandler , callback ICommonCallback match !
2023-02-06 03:14:29.944 GMT+05:30 ,3313,3328, I , SpayFw_PaymentFrameworkService , Entered method = getAllTokenState
2023-02-06 03:14:29.946 GMT+05:30 ,3313,3328, W , SpayFw_PaymentFrameworkService , Does not support SEAMS so tries with SEAMSPolicy
2023-02-06 03:14:29.975 GMT+05:30 ,3313,3328, I , SpayFw_PaymentFrameworkService , Entered method = getConfig
2023-02-06 03:14:29.976 GMT+05:30 ,3313,3328, W , SpayFw_PaymentFrameworkService , Does not support SEAMS so tries with SEAMSPolicy
2023-02-06 12:09:20.092 GMT+05:30 ,3313,3457, I , SpayFw_TokenRepersoProcessor , restart
2023-02-06 12:09:20.271 GMT+05:30 ,3313,3457, I , SpayFw_TokenChangeChecker , restart
2023-02-06 12:47:24.263 GMT+05:30 ,3313,3328, I , SpayFw_PaymentFrameworkService , Entered method = setConfig
2023-02-06 12:47:24.266 GMT+05:30 ,3313,3328, W , SpayFw_PaymentFrameworkService , Does not support SEAMS so tries with SEAMSPolicy
2023-02-06 12:47:24.381 GMT+05:30 ,3313,3313, I , SpayFw_AuthFrameworkService , startTuiService
2023-02-06 12:47:24.387 GMT+05:30 ,3313,3313, I , SpayFw_AuthFrameworkService , return auth binder
2023-02-06 12:47:24.586 GMT+05:30 ,3313,25607, I , SpayFw_AuthFrameworkService , pfInitStatus
2023-02-06 12:47:24.588 GMT+05:30 ,3313,25607, E , SpayFw_AuthFrameworkService , pfInitStatus: send msg
2023-02-06 12:47:24.597 GMT+05:30 ,3313,3383, I , SpayFw_PaymentFrameworkHandler , callback IAuthCommonCallback match !
2023-02-06 12:47:25.296 GMT+05:30 ,3313,25607, I , SpayFw_PaymentFrameworkService , Entered method = selectCard
2023-02-06 12:47:25.297 GMT+05:30 ,3313,25607, W , SpayFw_PaymentFrameworkService , Does not support SEAMS so tries with SEAMSPolicy
2023-02-06 12:47:25.299 GMT+05:30 ,3313,3383, W , SpayFw_PaymentFrameworkHandler , handleMessage: PAYFW_OPT_SELECT_CARD
2023-02-06 12:47:25.301 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , loadTA()
2023-02-06 12:47:25.375 GMT+05:30 ,3313,3383, I , SpayFw_TAController , No need to load PIN random for TA TA - Technology = tee uuid = 00000000000000000000504159415554
2023-02-06 12:47:25.379 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , Calling loadPin()
2023-02-06 12:47:25.391 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , loadPin: Existing PIN len=4 ret=0
2023-02-06 12:47:25.391 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , Existing PIN len: 4  pin exist: true
2023-02-06 12:47:25.391 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , TUI MSG:  pay_auth:24530960
2023-02-06 12:47:25.460 GMT+05:30 ,3313,25607, I , SpayFw_TAController , TA MSG: cncc_pay:23929488
2023-02-06 12:47:25.465 GMT+05:30 ,3313,3383, I , SpayFw_TAController , TA is already loaded
2023-02-06 12:47:25.465 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , Ta is already loaded
2023-02-06 12:47:25.466 GMT+05:30 ,3313,25607, I , SpayFw_TAController , TA is already loaded
2023-02-06 12:47:25.475 GMT+05:30 ,3313,3383, E , SpayFw_Utils , isReadable /sys/class/mstldo/mst_drv/support exists: false
2023-02-06 12:47:25.475 GMT+05:30 ,3313,3383, E , SpayFw_Utils , readFromFile Failed isReadable : /sys/class/mstldo/mst_drv/support
2023-02-06 12:47:25.475 GMT+05:30 ,3313,3383, I , SpayFw_StateMachine , state has changed from NPAY_READY to NPAY_SELECTED
2023-02-06 12:47:25.894 GMT+05:30 ,3313,25607, I , SpayFw_PaymentFrameworkService , Entered method = getConfig
2023-02-06 12:47:25.895 GMT+05:30 ,3313,25607, W , SpayFw_PaymentFrameworkService , Does not support SEAMS so tries with SEAMSPolicy
2023-02-06 12:47:25.899 GMT+05:30 ,3313,25607, I , SpayFw_PaymentFrameworkService , Entered method = updateBinAttribute
2023-02-06 12:47:25.900 GMT+05:30 ,3313,25607, W , SpayFw_PaymentFrameworkService , Does not support SEAMS so tries with SEAMSPolicy
2023-02-06 12:47:25.903 GMT+05:30 ,3313,25607, I , SpayFw_BinAttributeManager , needUpdate. [LOCAL] version is empty
2023-02-06 12:47:28.914 GMT+05:30 ,3313,25607, I , SpayFw_PaymentFrameworkService , Entered method = clearCard
2023-02-06 12:47:28.915 GMT+05:30 ,3313,25607, W , SpayFw_PaymentFrameworkService , Does not support SEAMS so tries with SEAMSPolicy
2023-02-06 12:47:28.915 GMT+05:30 ,3313,3383, I , SpayFw_StateMachine , state has changed from NPAY_SELECTED to NPAY_READY
2023-02-06 12:47:28.916 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , Calling closeTui
2023-02-06 12:47:28.928 GMT+05:30 ,3313,3383, I , SpayFw_SpayTuiTAController , TUI: unloadTA
2023-02-06 12:47:29.099 GMT+05:30 ,3313,25607, I , SpayFw_PaymentFrameworkService , Entered method = getConfig
2023-02-06 12:47:29.100 GMT+05:30 ,3313,25607, W , SpayFw_PaymentFrameworkService , Does not support SEAMS so tries with SEAMSPolicy
2023-02-06 12:47:29.102 GMT+05:30 ,3313,25607, I , SpayFw_PaymentFrameworkService , Entered method = updateBinAttribute
2023-02-06 12:47:29.102 GMT+05:30 ,3313,25607, W , SpayFw_PaymentFrameworkService , Does not support SEAMS so tries with SEAMSPolicy
2023-02-06 12:47:29.105 GMT+05:30 ,3313,25607, I , SpayFw_BinAttributeManager , needUpdate. [LOCAL] version is empty
2023-02-06 12:48:59.916 GMT+05:30 ,3313,25607, I , SpayFw_SpayTuiTAController , loadTA()
2023-02-06 12:48:59.966 GMT+05:30 ,3313,25607, I , SpayFw_TAController , No need to load PIN random for TA TA - `
2023-02-06 12:48:59.967 GMT+05:30 ,3313,25607, I , SpayFw_SpayTuiTAController , Calling loadPin()
2023-02-06 12:48:59.975 GMT+05:30 ,3313,25607, I , SpayFw_SpayTuiTAController , loadPin: Existing PIN len=4 ret=0
2023-02-06 12:48:59.975 GMT+05:30 ,3313,25607, I , SpayFw_SpayTuiTAController , Existing PIN len: 4  pin exist: true
2023-02-06 12:48:59.975 GMT+05:30 ,3313,25607, I , SpayFw_SpayTuiTAController , TUI MSG:  pay_auth:24530960
2023-02-06 12:49:50.573 GMT+05:30 ,3313,3328, I , SpayFw_TAController , TA is already loaded
2023-02-06 12:49:50.594 GMT+05:30 ,3313,3328, I , SpayFw_TAController , TA is already loaded
2023-02-06 12:49:58.561 GMT+05:30 ,3313,3328, I , SpayFw_SpayTuiTAController , loadTA()
2023-02-06 12:49:58.561 GMT+05:30 ,3313,3328, I , SpayFw_TAController , TA is already loaded
2023-02-06 12:49:58.561 GMT+05:30 ,3313,3328, I , SpayFw_SpayTuiTAController , Calling loadPin()
2023-02-06 12:49:58.569 GMT+05:30 ,3313,3328, I , SpayFw_SpayTuiTAController , loadPin: Existing PIN len=4 ret=0
2023-02-06 12:49:58.569 GMT+05:30 ,3313,3328, I , SpayFw_SpayTuiTAController , Existing PIN len: 4  pin exist: true
2023-02-06 12:49:58.569 GMT+05:30 ,3313,3328, I , SpayFw_SpayTuiTAController , TUI MSG:  pay_auth:24530960
2023-02-06 12:52:45.361 GMT+05:30 ,3313,3328, I , SpayFw_SpayTuiTAController , loadTA()
2023-02-06 12:52:45.361 GMT+05:30 ,3313,3328, I , SpayFw_TAController , TA is already loaded
2023-02-06 12:52:45.361 GMT+05:30 ,3313,3328, I , SpayFw_SpayTuiTAController , Calling loadPin()
2023-02-06 12:52:45.368 GMT+05:30 ,3313,3328, I , SpayFw_SpayTuiTAController , loadPin: Existing PIN len=4 ret=0
2023-02-06 12:52:45.368 GMT+05:30 ,3313,3328, I , SpayFw_SpayTuiTAController , Existing PIN len: 4  pin exist: true
2023-02-06 12:52:45.368 GMT+05:30 ,3313,3328, I , SpayFw_SpayTuiTAController , TUI MSG:  pay_auth:24530960
2023-02-06 12:54:50.619 GMT+05:30 ,3313,26562, I , SpayFw_SPAY:CNCCTAController , CNCC: unloadTA
2023-02-06 12:58:50.413 GMT+05:30 ,3313,3328, I , SpayFw_TAController , TA MSG: cncc_pay:23929488
2023-02-06 12:58:50.421 GMT+05:30 ,3313,3328, I , SpayFw_TAController , TA is already loaded
2023-02-06 12:59:41.613 GMT+05:30 ,3313,3328, I , SpayFw_TAController , TA is already loaded
2023-02-06 12:59:41.638 GMT+05:30 ,3313,3328, I , SpayFw_TAController , TA is already loaded
